reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
1bef2a25-9b58-429d-be5b-ea864f1343b3,Devan Febriansyah,https://play-lh.googleusercontent.com/a-/ALV-UjXECGWSyf4ISpPBfDX8FDdTmzKzO68owjm452zEab1vrVQ,"Aplikasi threads ini merupakan aplikasi yang mirip sekali dengan Twitter yah, hampir mirip hampir menyerupai Twitter yah, hehehe tapi aplikasi ini menurut saya pribadi sangatlah berguna bagi para penggunanya, karena aplikasi ini tuh bisa bermanfaat baik bagi masyarakat di negara kita maupun dari luar negeri sana.",5,0,301.0.0.30.109,2023-09-30 21:35:21,,,301.0.0.30.109
a8484922-c2ba-45fa-9dff-40713aa99060,Alga Wahyu Aditya,https://play-lh.googleusercontent.com/a-/ALV-UjUlRhPclHA69OOI1XnsNwzH5idzCqaIY7ic3le8hSM8aI0,"Sebenarnya sudah bagus, sayang fitur seperti hastag masih belum tersedia, semoga diupdate terbaru mas Mark Zuckerberg nambahin banyak fitur keren.",4,3,299.0.0.34.109,2023-09-12 20:04:50,,,299.0.0.34.109
d7e10b2e-29e6-4c6a-9a1f-6519c44ff8ad,Naseru 12,https://play-lh.googleusercontent.com/a-/ALV-UjU8oAuShYXQckQ9s3bUanXW-0usIeof6YRnGD3N6HEoEYU,"Threads gk ramah kayak dulu, padahal baru buka, tpi yg lewat cewek2 yg pada ngeliatin aurat nya, ni apk lama kayak fb co, mending ni apk di setting buat tulisan aja, gk usah ada upload2 gambar video segala, jadi kayak note aja",1,3,299.0.0.34.109,2023-09-12 15:41:35,,,299.0.0.34.109
11cb243c-55a6-4f2a-8ffd-666b47e9de93,Santi Yunitasari,https://play-lh.googleusercontent.com/a/ACg8ocKL64T64yP368y6XgY1t8X82qg36wKubejdsFNfv68X9w=mo,"Aplikasi nya gak bisa dibuka , cuman bisa liat beranda doang, dari cari, aktivitas sama akun gak bisa diliat, muncul tulisan ""Maaf, ada masalah. Coba lagi"" Sudah di uninstal masih aja gk bisa",1,3,299.0.0.34.109,2023-09-09 14:59:06,,,299.0.0.34.109
52b865fc-9ebd-447b-a228-034df90ef5f4,Hadi Santoso,https://play-lh.googleusercontent.com/a-/ALV-UjWHZzlW14U7Y4O8IVLCVMlzVTZ98EoO-tlYN7QgYPWv1w,Tambahin fitur translet bahasa dong. Bagi saya yang tidak mengerti bahasa asing untuk menikmati utasan orang lain yg pakai bahasa asing jadi tidak bisa! Nanti setelah ada fitur translet saya akan mengedit ulasan saya menjadi bintang 5. Mantap sudah di tambahan fitur nya⭐⭐⭐⭐⭐,5,1,293.0.0.30.110,2023-08-05 21:55:21,,,293.0.0.30.110
918ce327-2873-40ce-89b1-4f8ff4ebcb8e,Kelvin Hxw,https://play-lh.googleusercontent.com/a-/ALV-UjVnI2X97c_4mD5uziFQc6vy--ixFxOPa8f6G3Jv4X5LnMY,"Saat memutar video, suara selalu mati, tolong sediakan settingan agar bisa selalu dibuka, agar tidak perlu buka suara satu2 videonya",3,4,294.0.0.27.110,2023-08-03 05:38:28,,,294.0.0.27.110
1159a6a4-3db2-49da-97cb-f7fedd8ac7df,Xidane Yusuf,https://play-lh.googleusercontent.com/a/ACg8ocLA_xuMtCbPj5bWaRei6DfYqAbzuF-BDQ0ShwkzYZyx=mo,"Sebenarnya, aplikasi ini bagus karena dapat mendampingi Instagram. Namun tak ada fitur Mode Gelap yang umum dijumpai diaplikasi lainnya.",1,2,292.0.0.31.110,2023-07-27 16:09:55,,,292.0.0.31.110
38ac874f-c628-475d-b2b2-eb360c896ac9,VR Lm,https://play-lh.googleusercontent.com/a/ACg8ocIynebxYVnwhCYxKlc0PX9U9_vzfF9PVjApbMm75ofs=mo,"Bagus bnget, tpi masih banyak kekurangan nya kaya *Tiap ganti liat video, videonya otomatis ngeMUTE sendiri *harus ada fitur markah biar sesuatu yg kita suka tinggal nyari di markah biar gk repot nyari ngeslide di akun yg sudah banyak postingannya *Harus ada fitur simpan ke galeri bagusnya buat video dan gambar juga",4,2,289.0.0.77.109,2023-07-26 21:04:38,,,289.0.0.77.109
2a4fd42b-1a0f-4761-b5b5-7eac8832b96a,Dimas Adhitya M.,https://play-lh.googleusercontent.com/a-/ALV-UjUC1CuaM8ICPJ4HP1FH1QwUc_7mlns4VN9XYLuxdvByJ8k,"Thumbnail website tidak tampil. 👎 Padahal sebelumnya baik-baik saja. Pas mengetik, thumbnail awalnya tampil, tapi ketika diunggah, thumbnail berubah menjadi tidak tampil alias hanya berupa link.",1,15,292.0.0.31.110,2023-07-23 07:07:48,,,292.0.0.31.110
362dc621-17e2-4325-a6a9-690cdd76fb55,Suryanas,https://play-lh.googleusercontent.com/a/ACg8ocLhpQVyTSkOsweHSC8j4MKJwF2SXyeapk0LyLkf-e9S=mo,"Kita membutuhkan fitur terjemahan, dan juga fitur beralih akun, adain fitur hastag dan fitur download foto juga, semoga saran ini didengarkan agar ini aplikasi bisa semakin berkembang",1,5,289.0.0.77.109,2023-07-21 14:35:24,,,289.0.0.77.109
